code_domain,code_value,code_desc
C_AS_SAMP_TYPE,CF,Coarse Fragments
C_AS_SAMP_TYPE,FE,Fine earth
C_AS_SAMP_TYPE,WS,Whole soil
C_CF_DISTRIBUTION,D,Dispersed
C_CF_DISTRIBUTION,R,Reoriented
C_CF_DISTRIBUTION,S,Stratified
C_CF_DISTRIBUTION,U,Undisturbed
C_CF_SHAPE,A,Angular
C_CF_SHAPE,AP,Angular platy
C_CF_SHAPE,AT,Angular tabular
C_CF_SHAPE,R,Rounded
C_CF_SHAPE,RP,Rounded platy
C_CF_SHAPE,RT,Rounded tabular
C_CF_SHAPE,S,Subangular
C_CF_SHAPE,SP,Subangular platy
C_CF_SHAPE,ST,Subangular tabular
C_CF_SHAPE,U,Subrounded
C_CF_SHAPE,UP,Subrounded platy
C_CF_SHAPE,UT,Subrounded tabular
C_CF_STRENGTH,M,Moderately strong
C_CF_STRENGTH,S,Strong
C_CF_STRENGTH,VS,Very strong
C_CF_STRENGTH,VW,Very weak
C_SCF_SHAPE,A,Angular
C_SCF_SHAPE,AP,Angular platy
C_SCF_SHAPE,AT,Angular tabular
C_SCF_SHAPE,R,Rounded
C_SCF_SHAPE,RP,Rounded platy
C_SCF_SHAPE,RT,Rounded tabular
C_SCF_SHAPE,S,Subangular
C_SCF_SHAPE,SP,Subangular platy
C_SCF_SHAPE,ST,Subangular tabular
C_SCF_SHAPE,U,Subrounded
C_SCF_SHAPE,UP,Subrounded platy
C_SCF_SHAPE,UT,Subrounded tabular
C_SCF_STRENGTH,M,Moderately strong
C_SCF_STRENGTH,S,Strong
C_SCF_STRENGTH,VS,Very strong
C_SCF_STRENGTH,VW,Very weak
C_SCF_STRENGTH,W,Weak
C_CONTRAST,D,Distinct
C_CONTRAST,F,Faint
C_CONTRAST,P,Prominent
C_CUTAN_DISTINCT,D,Distinct
C_CUTAN_DISTINCT,F,Faint
C_CUTAN_DISTINCT,P,Prominent
C_CUTAN_TYPE,C,Clay skins
C_CUTAN_TYPE,K,Slickensides
C_CUTAN_TYPE,M,Mangans
C_CUTAN_TYPE,O,Other cutans
C_CUTAN_TYPE,S,Stress cutans
