Property,DataType,SchemaLocation,Domain,Fields,Arrayed,Replace,PropertyGroups,Description,Table,ValueType,Vocab
10_BC,LaboratoryMeasurement,Lab,,,,,SULFUR,"Bicarbonate-extractable sulfur. Keay, Menage and Dean (1972)",LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/10
10A_NR,LaboratoryMeasurement,Lab,,,,,SULFUR,Total sulfur - S(%) - Not recorded,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/10
10A1,LaboratoryMeasurement,Lab,,,,,SULFUR,Total sulfur - S(%) - X-ray fluorescence,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/10A1
10A3,LaboratoryMeasurement,Lab,,,,,SULFUR,,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/10
10B,LaboratoryMeasurement,Lab,,,,,SULFUR,Extractable sulfur (mg/kg) - Phosphate extractable sulfur,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/10B
10B_NR,LaboratoryMeasurement,Lab,,,,,SULFUR,Extractable sulfur (mg/kg) - Not recorded,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/10
10B1,LaboratoryMeasurement,Lab,,,,,SULFUR,Calcium phosphate-extractable sulfur - manual distillation,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/10B1
10B2,LaboratoryMeasurement,Lab,,,,,SULFUR,Calcium phosphate-extractable sulfur - automated distillation,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/10B2
10B3,LaboratoryMeasurement,Lab,,,,,SULFUR,Calcium phosphate-extractable sulfur - ICPAES,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/10B3
10B4,LaboratoryMeasurement,Lab,,,,,SULFUR,Calcium phosphate-extractable sulfur - ion chromatography,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/10B4
10C1,LaboratoryMeasurement,Lab,,,,,SULFUR,"Calcium phosphate-extractable sulfur - ICPAES, + charcoal (CPC-S)",LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/10C1
10D1,LaboratoryMeasurement,Lab,,,,,SULFUR,Potassium chloride - 40 sulfur (KCl-40)-S,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/10D1
10Z1,LaboratoryMeasurement,Lab,,,,,SULFUR,,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/10
11A1,LaboratoryMeasurement,Lab,,,,,GYPSUM,Total gypsum,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/11A1
11A2,LaboratoryMeasurement,Lab,,,,,GYPSUM,Total gypsum - MIR reflectance spectroscopy,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/11A2
12_HCL_CU,LaboratoryMeasurement,Lab,,,,,Micronutrients,Total element - Cu(mg/kg) - Total acid(HCl),LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/12
12_HCL_FE,LaboratoryMeasurement,Lab,,,,,Micronutrients,Total element - Fe(%) - Total acid(HCl) extractable Fe,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/12
12_HCL_FEO,LaboratoryMeasurement,Lab,,,,,Micronutrients,Total element - Fe(%) - Total acid(HCl) extractable Fe2O3,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/12
12_HCL_MN,LaboratoryMeasurement,Lab,,,,,Micronutrients,Total element - Mn(mg/kg) - Total acid(HCl),LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/12
12_HCL_ZN,LaboratoryMeasurement,Lab,,,,,Micronutrients,Total element - Zn(mg/kg) - Total acid(HCl),LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/12
